nctId,briefTitle,overallStatus,startDate,firstPosted,completionDate,studyType,phases,enrollment,leadSponsor,sponsorClass,conditions,nLocations,countries
NCT07420790,Design and Validation of a Generative AI and Propensity Score Matching Model for the VEN-DEC Phase II Study in Elderly AML Eligible for Allo-SCT; Evaluation of an Exploratory Approach Respect to a Randomized Phase III Trial,RECRUITING,2026-02-20,2026-02-19,2026-12,OBSERVATIONAL,,1941,Azienda Socio Sanitaria Territoriale degli Spedali Civili di Brescia,OTHER,Acute Myeloid Leukemia,1,Italy
NCT04371289,Predictors of Cardiovascular Risk in Covid-19 Patients During Acute Disease and at Short Term Follow-up,COMPLETED,2020-04-08,2020-05-01,2021-09-10,OBSERVATIONAL,,4356,Istituto Auxologico Italiano,OTHER,COVID-19 | Cardiovascular Risk Factor,1,Italy
NCT07502040,Impact of Exercise Access on Physio Outcomes Post Knee Replacement,NOT_YET_RECRUITING,2026-03-31,2026-03-30,2026-11-28,INTERVENTIONAL,NA,40,Hull University Teaching Hospitals NHS Trust,OTHER_GOV,"Knee Arthroplasty, Total",0,
NCT06726447,Artificial Intelligence Satisfaction in Professionals and Patients,RECRUITING,2024-12-01,2024-12-10,2026-12-01,INTERVENTIONAL,NA,148,Universidad Autonoma de Madrid,OTHER,General Health Status,2,Spain
NCT05184725,CARINAE for Stress Relief in Perioperative Care,COMPLETED,2022-01-10,2022-01-11,2022-05-31,INTERVENTIONAL,NA,50,"Adhera Health, Inc.",INDUSTRY,Psychological Stress | Cardiopulmonary Bypass Surgery | Coronary Artery Bypass Surgery | Cardiac Valve Replacement | Hip Replacement | Orthognathic Surgery | Scoliosis | Knee Replacement | Prostate Ca,5,Italy | Netherlands | Spain
NCT06204133,Model Study on Cervical Cancer Screening Strategies and Risk Prediction,COMPLETED,2023-11-01,2024-01-12,2024-06-30,OBSERVATIONAL,,1112846,Fujian Maternity and Child Health Hospital,OTHER,Cervical Cancer Screening | Risk Assessment | Artificial Intelligence | Machine Learning,7,China
NCT05573308,Optimizing Orthodontic Appliances Efficiency With Remote Dental Monitoring and Artificial Intelligence Algorithms,RECRUITING,2022-10-17,2022-10-10,2029-12-30,INTERVENTIONAL,NA,12,University of Illinois at Chicago,OTHER,Malocclusion | Misaligned Teeth,4,United States
NCT07543263,"An Artificial Intelligence System for Multimodal, Multi-class Diagnosis of Pancreatic Cystic Lesions Based on Endoscopic Ultrasonography",RECRUITING,2026-04-20,2026-04-21,2028-06-30,OBSERVATIONAL,,176,Qilu Hospital of Shandong University,OTHER,Pancreatic Cystic Lesion (PCL),1,China
NCT06029452,A Retrospective Validation Study To Identify Chart-Based Clinical Diagnosis Of Wild-Type Transthyretin Amyloid Cardiomyopathy (Attrwt-CM) And Non-Amyloid Heart Failure Among Patients With Heart Failure (HF).,COMPLETED,2023-09-01,2023-09-08,2023-11-14,OBSERVATIONAL,,558,Pfizer,INDUSTRY,ATTR-CM,1,United States
NCT04676308,The CERTAIN Study: Combining Endo-cuff in a Randomized Trial for Artificial Intelligence Navigation,COMPLETED,2021-07-01,2020-12-21,2022-05-31,OBSERVATIONAL,,1300,Istituto Clinico Humanitas,OTHER,Artificial Intelligence,1,Italy
